id,target,timestamp,deviceid,newsid,guid,pos,app_version,device_vendor,netmodel,osversion,lng,lat,device_version,ts,hour,weekend,month,dayofweek
1,0.0,,31032,8008333091915950969,9a2c909ebc47aec49d9c160cdb4a6572,1,28,46,2,25,112.53852,37.837925,1216,1970-01-01 00:26:13.298086436,0,3,1,3
2,0.0,,31032,8008333091915950969,9a2c909ebc47aec49d9c160cdb4a6572,1,28,46,4,25,111.731186,35.62274,1216,1970-01-01 00:26:13.298087570,0,3,1,3
3,0.0,,29177,4941885624885390992,d51a157d2b1e0e9aed4dd7f9900b85b2,2,16,174,4,23,0.0,0.0,1288,1970-01-01 00:26:13.377075934,0,3,1,3
4,0.0,,29177,6088376349846612406,d51a157d2b1e0e9aed4dd7f9900b85b2,1,16,174,4,23,0.0,0.0,1288,1970-01-01 00:26:13.377044359,0,3,1,3
5,0.0,,23141,5343094189765291622,625dc45744f59ddbc3ec8df161217188,0,24,178,4,25,116.75088,36.56831,1053,1970-01-01 00:26:13.380989662,0,3,1,3
6,0.0,,1047,3734327341629052372,3bc11f585ac7b18d7997fa83e19aa439,1,28,86,3,23,0.0,0.0,935,1970-01-01 00:26:13.280467883,0,3,1,3
7,0.0,,1047,5518070787661276860,3bc11f585ac7b18d7997fa83e19aa439,2,28,86,3,23,0.0,0.0,935,1970-01-01 00:26:13.280458325,0,3,1,3
8,0.0,,1047,6167225445325229993,,0,28,86,4,23,0.0,0.0,935,1970-01-01 00:26:13.280222575,0,3,1,3
9,0.0,,1047,8963857601701307537,3bc11f585ac7b18d7997fa83e19aa439,2,28,86,3,23,0.0,0.0,935,1970-01-01 00:26:13.280474186,0,3,1,3
10,0.0,,34426,1068538578400892892,b04dfb77636b0e593f54b08d9eda0c5f,1,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.311961694,0,3,1,3
11,0.0,,34426,1195127726292048291,b04dfb77636b0e593f54b08d9eda0c5f,1,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.311987147,0,3,1,3
12,0.0,,34426,1227958604894135383,b04dfb77636b0e593f54b08d9eda0c5f,0,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.311604440,0,3,1,3
13,0.0,,34426,1227958604894135383,b04dfb77636b0e593f54b08d9eda0c5f,0,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.311605690,0,3,1,3
14,0.0,,34426,1724246304187202951,b04dfb77636b0e593f54b08d9eda0c5f,5,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.312616517,0,3,1,3
15,0.0,,34426,1731805631867861791,b04dfb77636b0e593f54b08d9eda0c5f,2,28,49,4,25,0.0,0.0,315,1970-01-01 00:26:13.312359397,0,3,1,3
16,0.0,,34426,1737183557815227664,b04dfb77636b0e593f54b08d9eda0c5f,5,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.312819916,0,3,1,3
17,0.0,,34426,1754116862795197915,b04dfb77636b0e593f54b08d9eda0c5f,0,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.312821324,0,3,1,3
18,0.0,,34426,190671025029966346,b04dfb77636b0e593f54b08d9eda0c5f,1,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.311599275,0,3,1,3
19,0.0,,34426,1945386170424867900,b04dfb77636b0e593f54b08d9eda0c5f,0,28,49,4,25,0.0,0.0,315,1970-01-01 00:26:13.312727838,0,3,1,3
20,0.0,,34426,2359045677769293076,b04dfb77636b0e593f54b08d9eda0c5f,4,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.312675364,0,3,1,3
21,0.0,,34426,2700108126860496811,b04dfb77636b0e593f54b08d9eda0c5f,0,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.397935523,0,3,1,3
22,0.0,,34426,2799077803963576743,b04dfb77636b0e593f54b08d9eda0c5f,1,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.398678979,0,3,1,3
23,0.0,,34426,2799077803963576743,b04dfb77636b0e593f54b08d9eda0c5f,0,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.398675950,0,3,1,3
24,0.0,,34426,2875266650706310957,b04dfb77636b0e593f54b08d9eda0c5f,1,28,49,4,25,0.0,0.0,315,1970-01-01 00:26:13.313174623,0,3,1,3
25,0.0,,34426,2875948592871458699,b04dfb77636b0e593f54b08d9eda0c5f,1,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.313195523,0,3,1,3
26,0.0,,34426,3066424573304458052,b04dfb77636b0e593f54b08d9eda0c5f,2,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.313190246,0,3,1,3
27,0.0,,34426,3111526654991894875,b04dfb77636b0e593f54b08d9eda0c5f,4,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.311601575,0,3,1,3
28,0.0,,34426,3557574453511630058,b04dfb77636b0e593f54b08d9eda0c5f,0,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.398827738,0,3,1,3
29,0.0,,34426,4126230952311862938,b04dfb77636b0e593f54b08d9eda0c5f,1,28,49,3,25,0.0,0.0,315,1970-01-01 00:26:13.398843558,0,3,1,3
30,0.0,,34426,4434865065147695905,b04dfb77636b0e593f54b08d9eda0c5f,1,28,49,4,25,0.0,0.0,315,1970-01-01 00:26:13.312728035,0,3,1,3
